"row ID","TP","FP","TN","FN","PPV","TPR","TNR","F1","FPR","FNR","AUC","GMEAN","GMEASURE","ACCURACY","Area Under Curve"
"MLP [ALL + Noise + Imputation + Downsample]",5890,11339,19379,3036,0.3418654593998491,0.6598700425722608,0.6308678950452503,0.4503918944752437,0.3691321049547497,0.3401299574277392,0.6453689688087556,0.6452060327995871,0.4749597617147835,0.6373978407829685,0.6952250081866796
"Gradient Boosted [ALL + Noise + Imputation + Downsample]",6008,10996,19722,2918,0.35332862855798636,0.6730898498767645,0.6420339865876684,0.46340146548399536,0.35796601341233153,0.3269101501232355,0.6575619182322165,0.657378551253442,0.4876698817368755,0.6490263343759459,0.7107034830458318
"Random Forest [ALL + Noise + Imputation + Downsample]",5823,10975,19743,3103,0.3466484105250625,0.6523638807976697,0.6427176248453675,0.45272896905613436,0.35728237515463246,0.3476361192023303,0.6475407528215187,0.6475227903334251,0.4755427450424132,0.6448895166986177,0.6996665670613588
"ONER",0,0,30718,8926,,0.0,1.0,,0.0,1.0,0.5,0.0,,0.7748461305620018,0.5
"Naives Bayes",4311,9205,21513,4615,0.318955312222551,0.4829710956755546,0.7003385637085747,0.38419035736565366,0.2996614362914252,0.5170289043244455,0.5916548296920647,0.5815868666486327,0.3924871929320294,0.6513974371909999,0.6334927736745412
"MLP (Missing: Linear Interpol/MFV + Mean)",345,346,30372,8581,0.4992764109985528,0.038651131525879456,0.9887362458493392,0.07174794634501404,0.011263754150660851,0.9613488684741206,0.5136936886876093,0.195488553840697,0.13891579546356173,0.7748209060639694,0.6662445355002345
"C4.5",978,1532,29186,7948,0.3896414342629482,0.10956755545597131,0.9501269613907155,0.17103882476390347,0.04987303860928446,0.8904324445440287,0.5298472584233435,0.32265010232818886,0.20662056881285992,0.7608717586520028,0.5995247644408379
"Gradient Boosted",348,395,30323,8578,0.46837146702557203,0.03898722832175667,0.987141089914708,0.07198262488364877,0.01285891008529201,0.9610127716782433,0.5130641591182323,0.19617822269123666,0.13513143721696333,0.7736605791544748,0.6843859120495085
"Random Forest",416,429,30289,8510,0.49230769230769234,0.04660542236164015,0.9860342470212905,0.08514993347661448,0.01396575297870955,0.9533945776383599,0.5163198346914653,0.2143701064641921,0.15147345619574534,0.7745182120875794,0.6725415088697182
"Adaboost",27,28,30690,8899,0.4909090909090909,0.003024871162894914,0.9990884823230679,0.006012693463979512,9.115176769320919E-4,0.996975128837105,0.5010566767429814,0.054973756824138305,0.03853487709457326,0.7748209060639694,0.6395943817091806
"KNN",1704,3369,23400,6059,0.33589591957421644,0.21950276954785522,0.8741454667712653,0.2655032720473668,0.12585453322873474,0.7804972304521448,0.5468241181595603,0.4380380701993782,0.27153284262932936,0.7269778755936522,0.5634611814364401
"MLP [Noise + Imputation]",385,409,30309,8541,0.48488664987405544,0.04313242213757562,0.9866853310762419,0.07921810699588476,0.013314668923758058,0.9568675778624244,0.5149088766069088,0.2062962147421373,0.14461789540455422,0.774240742609222,0.6672020944336812
"C4.5 [Noise + Imputation]",1149,1837,28881,7777,0.384795713328868,0.12872507282097245,0.9401979295527052,0.19291470785762255,0.05980207044729475,0.8712749271790275,0.5344615011868389,0.34788941770022197,0.2225597812262058,0.7574916759156493,0.6264825273650424
"Gradient Boosted [Noise + Imputation]",574,676,30042,8352,0.4592,0.06430652027784002,0.9779933589426395,0.11281446540880502,0.022006641057360506,0.93569347972216,0.5211499396102398,0.25078147812076895,0.1718416541807723,0.7722732317626879,0.6846954997458251
"Random Forest [Noise + Imputation]",337,399,30319,8589,0.4578804347826087,0.037754873403540216,0.9870108731037177,0.06975781411716,0.01298912689628231,0.9622451265964598,0.512382873253629,0.193040075015393,0.13148086495446912,0.7732822116839875,0.6738727299461335
"Adaboost [Noise + Imputation]",0,1,30717,8926,0.0,0.0,0.9999674457972524,NaN,3.255420274757471E-5,1.0,0.4999837228986262,0.0,0.0,0.7748209060639694,0.6395937379923097
